"type","group","key","context","ru","kk","en"
"interface","result","result.fallbackNotice","панель результатов расчёта","Звёздочкой (∗) отмечены программы, по которым на эту квоту в 2025 г. не было заявок — расчёт сделан по общему конкурсу.","(∗) белгісімен 2025 жылы бұл квота бойынша өтінім түспеген бағдарламалар көрсетілген — есеп жалпы конкурс бойынша жасалды.","Programs marked with (∗) had no applications under this quota in 2025 — the calculation falls back to the general competition."
"interface","result","result.best","панель результатов расчёта","⭐ Лучший вариант","⭐ Үздік нұсқа","⭐ Best option"
"interface","result","result.threshold","панель результатов расчёта","порог ~{{score}} б.","табалдырық ~{{score}} б.","threshold ~{{score}} pts"
"interface","result","result.footer","панель результатов расчёта","💡 Вероятность рассчитана на основе исторических проходных баллов и квот МНВО РК. Уточняйте данные в приёмной комиссии университета.","💡 Ықтималдық тарихи өту балдары мен ҚР ҒЖБМ квоталары негізінде есептеледі. Деректерді университеттің қабылдау комиссиясынан нақтылаңыз.","💡 Probability is calculated from historical passing scores and the quotas set by the Ministry of Science and Higher Education of Kazakhstan. Verify the data with the university admissions office."
"interface","result","result.thresholdNotice","панель результатов расчёта","Скрыто {{count}} специальностей: вашего балла не хватает для участия в конкурсе грантов (порог МНВО РК: педагогические и юриспруденция — 75, медицинские — 70, технические и агро — 50).","{{count}} мамандық жасырылды: грант конкурсына қатысу үшін балыңыз жеткіліксіз (ҚР ҒЖБМ табалдырығы: педагогикалық және құқықтану — 75, медициналық — 70, техникалық және агро — 50).","{{count}} specialties hidden: your score is below the grant competition threshold (Ministry of Science: Pedagogy and Law — 75, Medicine — 70, Technical and Agriculture — 50)."
"interface","result","result.badges.excellent","панель результатов расчёта","Отлично","Өте жақсы","Excellent"
"interface","result","result.badges.good","панель результатов расчёта","Хорошо","Жақсы","Good"
"interface","result","result.badges.average","панель результатов расчёта","Средне","Орташа","Average"
"interface","result","result.badges.low","панель результатов расчёта","Низко","Төмен","Low"
"interface","info","info.title","правая инфо-панель (когда расчёт ещё не сделан)","Как пользоваться калькулятором","Калькуляторды қалай пайдалану керек","How to use the calculator"
"interface","info","info.desc","правая инфо-панель (когда расчёт ещё не сделан)","Заполните форму слева — и вы увидите все специальности СКУ им. Козыбаева, на которые подходят ваши профильные предметы, с вероятностью поступления на грант.","Сол жақтағы формаға деректерді енгізіңіз — М. Қозыбаев атындағы СҚУ-дың сіздің бейіндік пәндеріңізге сәйкес мамандықтарының тізімі мен грантқа түсу ықтималдығы көрсетіледі.","Fill in the form on the left — you will see every Kozybayev University specialty matching your profile subjects, with the probability of being awarded a state grant."
"interface","info","info.stepsHeading","правая инфо-панель (когда расчёт ещё не сделан)","О калькуляторе","Калькулятор туралы","About the calculator"
"interface","info","info.steps[0].title","правая инфо-панель (когда расчёт ещё не сделан)","Введите балл ЕНТ","ҰБТ балын енгізіңіз","Enter your UNT score"
"interface","info","info.steps[0].desc","правая инфо-панель (когда расчёт ещё не сделан)","Укажите итоговый балл, который вы получили на Едином Национальном Тестировании. Максимум — 140 баллов.","Ұлттық бірыңғай тестілеуде алған жалпы балыңызды көрсетіңіз. Ең жоғары — 140 балл.","Provide the total score you received on the Unified National Testing. The maximum is 140 points."
"interface","info","info.steps[1].title","правая инфо-панель (когда расчёт ещё не сделан)","Выберите предметы","Пәндерді таңдаңыз","Pick the subjects"
"interface","info","info.steps[1].desc","правая инфо-панель (когда расчёт ещё не сделан)","Сначала выберите первый профильный предмет, затем — второй. Система автоматически подберёт доступные комбинации.","Алдымен бірінші, содан кейін екінші бейіндік пәнді таңдаңыз. Жүйе қолжетімді тіркесімдерді автоматты түрде ұсынады.","Pick the first profile subject, then the second. The system will offer only the allowed combinations."
"interface","info","info.steps[2].title","правая инфо-панель (когда расчёт ещё не сделан)","Укажите квоту","Квотаны көрсетіңіз","Choose your quota"
"interface","info","info.steps[2].desc","правая инфо-панель (когда расчёт ещё не сделан)","Выберите категорию, по которой вы имеете право участвовать. Квота влияет на проходной порог.","Сіз қатыса алатын санатты таңдаңыз. Квота өту табалдырығына әсер етеді.","Pick the category you are eligible for. The quota directly affects the passing threshold."
"interface","info","info.steps[3].title","правая инфо-панель (когда расчёт ещё не сделан)","Получите результат","Нәтижені алыңыз","Get the result"
"interface","info","info.steps[3].desc","правая инфо-панель (когда расчёт ещё не сделан)","Нажмите кнопку — справа появится список всех специальностей с вероятностью поступления на грант для каждой.","Түймені басыңыз — оң жақта барлық мамандықтар грантқа түсу ықтималдығымен бірге көрсетіледі.","Press the button — the right side will show every specialty with its individual grant probability."
"interface","info","info.facts[0]","правая инфо-панель (когда расчёт ещё не сделан)","61 специальность СКУ им. Козыбаева с активными грантами","М. Қозыбаев атындағы СҚУ-да гранттары бар 61 мамандық","61 Kozybayev University specialties with active grants"
"interface","info","info.facts[1]","правая инфо-панель (когда расчёт ещё не сделан)","Расчёт по sigmoid-модели и историческим данным 2025 года","2025 жылғы тарихи деректерге негізделген сигмоидтық есеп","Sigmoid model based on 2025 historical passing scores"
"interface","info","info.facts[2]","правая инфо-панель (когда расчёт ещё не сделан)","Учитываются 10 действующих квот МНВО РК","ҚР ҒЖБМ-ның 10 қолданыстағы квотасы есепке алынады","10 active Ministry of Science quotas"
"interface","info","info.facts[3]","правая инфо-панель (когда расчёт ещё не сделан)","AI-чат поможет выбрать специальность","AI-чат мамандықты таңдауға көмектеседі","AI chat helps you pick a specialty"
"interface","info","info.chatHint.title","правая инфо-панель (когда расчёт ещё не сделан)","Нужна помощь с выбором?","Таңдауға көмек керек пе?","Need help choosing?"
"interface","info","info.chatHint.text","правая инфо-панель (когда расчёт ещё не сделан)","Нажмите на кнопку чата в правом нижнем углу — AI-ассистент поможет разобраться со специальностями и ответит на вопросы о поступлении.","Оң жақ төменгі бұрыштағы чат түймесін басыңыз — AI-ассистент мамандықтар туралы түсіндіріп, түсу сұрақтарына жауап береді.","Tap the chat button in the bottom-right corner — the AI assistant will walk you through the specialties and answer admission questions."
"interface","chat","chat.greeting","AI чат-бот","Привет! 👋 Я AI-ассистент университета Козыбаева. Помогу выбрать специальность и разобраться с поступлением. Что тебя интересует?","Сәлем! 👋 Мен Қозыбаев университетінің AI-ассистентімін. Мамандық таңдауға және түсу мәселесін шешуге көмектесемін. Сізді не қызықтырады?","Hi! 👋 I'm the Kozybayev University AI assistant. I can help you pick a specialty and figure out admissions. What would you like to know?"
"interface","chat","chat.name","AI чат-бот","AI-Ассистент","AI-ассистент","AI assistant"
"interface","chat","chat.status","AI чат-бот","● Онлайн","● Онлайн","● Online"
"interface","chat","chat.placeholder","AI чат-бот","Напишите вопрос...","Сұрағыңызды жазыңыз...","Type your question..."
"interface","chat","chat.error","AI чат-бот","❌ Ошибка соединения с AI. Проверьте, запущен ли бэкенд.","❌ AI-мен байланыс қатесі. Бэкенд жұмыс істеп тұрғанын тексеріңіз.","❌ Connection error. Make sure the backend is running."
